ID,Black,White,Result
0,Moorhead W.,Wyllie J.,2
1,Hay W.,Wyllie J.,0
2,Anderson A.,Wyllie J.,2
3,Anderson A.,Wyllie J.,0
4,Wyllie J.,Anderson A.,0
5,Anderson A.,Wyllie J.,1
6,Wyllie J.,Anderson A.,2
7,Anderson A.,Wyllie J.,1
8,Wyllie J.,Anderson A.,1
9,Anderson A.,Wyllie J.,1
10,Wyllie J.,Anderson A.,0
11,Anderson A.,Wyllie J.,2
12,Wyllie J.,Anderson A.,2
13,Anderson A.,Wyllie J.,0
14,Wyllie J.,Anderson A.,0
15,Anderson A.,Wyllie J.,1
16,Wyllie J.,Anderson A.,0
17,Anderson A.,Wyllie J.,1
18,Wyllie J.,Anderson A.,0
19,Anderson A.,Wyllie J.,0
20,Wyllie J.,Anderson A.,0
21,Anderson A.,Wyllie J.,0
22,Wyllie J.,Anderson A.,0
23,Anderson A.,Wyllie J.,2
24,Wyllie J.,Anderson A.,0
25,Anderson A.,Wyllie J.,0
26,Wyllie J.,Anderson A.,0
27,Anderson A.,Wyllie J.,0
28,Wyllie J.,Anderson A.,0
29,Anderson A.,Wyllie J.,2
30,Wyllie J.,Anderson A.,2
31,Anderson A.,Wyllie J.,2
32,Wyllie J.,Anderson A.,0
33,Anderson A.,Wyllie J.,2
34,Anderson A.,Wyllie J.,1
35,Coltherd H.,Martins R.,1
36,Martins R.,Coltherd H.,1
37,Coltherd H.,Martins R.,0
38,Martins R.,Coltherd H.,0
39,Coltherd H.,Martins R.,2
40,Martins R.,Coltherd H.,0
41,Coltherd H.,Martins R.,0
42,Martins R.,Coltherd H.,0
43,Coltherd H.,Martins R.,0
44,Martins R.,Coltherd H.,0
45,Coltherd H.,Martins R.,1
46,Martins R.,Coltherd H.,1
47,Coltherd H.,Martins R.,1
48,Martins R.,Coltherd H.,0
49,Coltherd H.,Martins R.,0
50,Martins R.,Coltherd H.,0
51,Coltherd H.,Martins R.,0
52,Martins R.,Coltherd H.,0
53,Martins R.,Coltherd H.,1
54,Coltherd H.,Martins R.,0
55,Martins R.,Coltherd H.,1
56,Coltherd H.,Martins R.,0
57,Martins R.,Coltherd H.,2
58,Martins R.,Coltherd H.,2
59,Coltherd H.,Martins R.,1
60,Martins R.,Coltherd H.,0
61,Coltherd H.,Martins R.,0
62,Martins R.,Coltherd H.,0
63,Coltherd H.,Martins R.,0
64,Coltherd H.,Martins R.,1
65,Martins R.,Coltherd H.,2
66,Coltherd H.,Martins R.,0
67,Martins R.,Coltherd H.,0
68,Coltherd H.,Martins R.,0
69,Martins R.,Coltherd H.,0
70,Coltherd H.,Martins R.,0
71,Martins R.,Coltherd H.,1
72,Martins R.,Coltherd H.,2
73,Brown A.,Martins R.,0
74,Martins R.,Brown A.,0
75,Brown A.,Martins R.,0
76,Martins R.,Brown A.,0
77,Brown A.,Martins R.,0
78,Martins R.,Brown A.,1
79,Brown A.,Martins R.,0
80,Martins R.,Brown A.,0
81,Brown A.,Martins R.,0
82,Martins R.,Brown A.,0
83,Brown A.,Martins R.,0
